NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
NT_10029,10029,16 Mile Dam,DAM,WATERBODY,HYDROLOGY,-23.35,133.4833,NT,2024-03-01,POINT (133.483292 -23.350014),gazetted
NT_10031,10031,16 Paddock Dam,DAM,WATERBODY,HYDROLOGY,-19.1833,136.7,NT,2024-03-01,POINT (136.699992 -19.183314),gazetted
NT_10035,10035,19 Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.085,132.3269,NT,2024-03-01,POINT (132.326892 -25.085014),gazetted
NT_10046,10046,25 Mile Dam,DAM,WATERBODY,HYDROLOGY,-22.9667,133.9667,NT,2024-03-01,POINT (133.966692 -22.966714),gazetted
NT_10938,10938,Blackhill Dam,DAM,WATERBODY,HYDROLOGY,-23.55,133.4167,NT,2024-03-01,POINT (133.416692 -23.550014),gazetted
NT_10941,10941,Blackstump Dam,DAM,WATERBODY,HYDROLOGY,-23.0786,137.9068,NT,2024-03-01,POINT (137.906792 -23.078614),gazetted
NT_10287,10287,Amburla Dam,DAM,WATERBODY,HYDROLOGY,-23.4751,133.2167,NT,2024-03-01,POINT (133.216692 -23.475114),gazetted
NT_10645,10645,Barramundi Dam,DAM,WATERBODY,HYDROLOGY,-15.0839,129.3899,NT,2024-03-01,POINT (129.389891 -15.083914),gazetted
NT_10056,10056,3 Mile Dam,DAM,WATERBODY,HYDROLOGY,-21.75,135.2167,NT,2024-03-01,POINT (135.216692 -21.750014),gazetted
NT_10060,10060,4 Mile Dam,DAM,WATERBODY,HYDROLOGY,-21.75,135.3,NT,2024-03-01,POINT (135.299992 -21.750014),gazetted
NT_10067,10067,5 Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.1857,132.5566,NT,2024-03-01,POINT (132.556592 -25.185714),gazetted
NT_10068,10068,5 Mile Dam,DAM,WATERBODY,HYDROLOGY,-23.2582,133.524,NT,2024-03-01,POINT (133.523992 -23.258214),gazetted
NT_10074,10074,6 Mile Dam,DAM,WATERBODY,HYDROLOGY,-17.9279,134.813,NT,2024-03-01,POINT (134.812992 -17.927914),gazetted
NT_10084,10084,7 Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.1972,133.3086,NT,2024-03-01,POINT (133.308592 -25.197214),gazetted
