NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
TAS_8503X,8503X,Budgeons Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.16995,147.96583,TAS,2025-12-14,POINT (147.96583 -41.16995),gazetted
TAS_2569B,2569B,Buffalo Brook,WATERCOURSE,WATERWAY,HYDROLOGY,-41.74507,147.62753,TAS,2025-12-14,POINT (147.62753 -41.74507),gazetted
TAS_8024L,8024L,Buffalo Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.60981,146.8268,TAS,2025-12-14,POINT (146.8268 -41.60981),gazetted
TAS_8283G,8283G,Bulgobac River,WATERCOURSE,WATERWAY,HYDROLOGY,-41.60411,145.63428,TAS,2025-12-14,POINT (145.63428 -41.60411),gazetted
TAS_22029K,22029K,Bull Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.60283,148.05252,TAS,2025-12-14,POINT (148.05252 -42.60283),gazetted
TAS_248X,248X,Bull Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.53666,146.06635,TAS,2025-12-14,POINT (146.06635 -41.53666),gazetted
TAS_9439K,9439K,Bull Hollow Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.77522,147.09516,TAS,2025-12-14,POINT (147.09516 -42.77522),gazetted
TAS_4304E,4304E,Bull Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-42.04828,145.71375,TAS,2025-12-14,POINT (145.71375 -42.04828),gazetted
TAS_14557R,14557R,Bullock Bell Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.1154,148.22962,TAS,2025-12-14,POINT (148.22962 -41.1154),gazetted
TAS_11972W,11972W,Bullock Hill Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.58879,147.57995,TAS,2025-12-14,POINT (147.57995 -42.58879),gazetted
TAS_8025N,8025N,Bullock Holes Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.70102,146.87605,TAS,2025-12-14,POINT (146.87605 -41.70102),gazetted
TAS_15835B,15835B,Bullock Paddock Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.60356,148.14342,TAS,2025-12-14,POINT (148.14342 -41.60356),gazetted
TAS_13273T,13273T,Bung Bung Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.03964,146.52075,TAS,2025-12-14,POINT (146.52075 -42.03964),gazetted
TAS_10652N,10652N,Bungaree Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-39.76772,143.86575,TAS,2025-12-14,POINT (143.86575 -39.76772),gazetted
TAS_654F,654F,Bunyip Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.66625,146.54298,TAS,2025-12-14,POINT (146.54298 -42.66625),gazetted
TAS_3513G,3513G,Buoy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.4918,146.28429,TAS,2025-12-14,POINT (146.28429 -43.4918),gazetted
TAS_19775L,19775L,Burburys Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.98008,146.7636,TAS,2025-12-14,POINT (146.7636 -41.98008),gazetted
TAS_11173X,11173X,Burgess Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.45384,145.32916,TAS,2025-12-14,POINT (145.32916 -41.45384),gazetted
TAS_12177B,12177B,Burgess Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.07381,147.7735,TAS,2025-12-14,POINT (147.7735 -43.07381),gazetted
TAS_19117F,19117F,Burgess Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.23064,146.60636,TAS,2025-12-14,POINT (146.60636 -43.23064),gazetted
TAS_15305N,15305N,Burgess Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-42.13474,145.39101,TAS,2025-12-14,POINT (145.39101 -42.13474),gazetted
